,college_name,program_name,Opening Rank,Closing Rank
66,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",9924,9924
109,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",19355,19355
149,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Information Technology (4 Years, Bachelor of Technology)",14671,31558
208,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",27312,27312
855,National Institute of Technology Agartala,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",8729,19886
856,National Institute of Technology Agartala,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",12375,17871
874,National Institute of Technology Agartala,"Chemical Engineering (4 Years, Bachelor of Technology)",14481,22972
888,National Institute of Technology Agartala,"Chemistry (5 Years, Bachelor of Science and Master of Science (Dual Degree))",11407,15003
920,National Institute of Technology Agartala,"Computational Mathematics (5 Years, Bachelor and Master of Technology (Dual Degree))",17654,21024
975,National Institute of Technology Agartala,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",7766,14243
993,National Institute of Technology Agartala,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",16244,30240
1007,National Institute of Technology Agartala,"Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))",13310,24757
1030,National Institute of Technology Agartala,"Mechanical Engineering (4 Years, Bachelor of Technology)",9491,19373
1031,National Institute of Technology Agartala,"Mechanical Engineering (4 Years, Bachelor of Technology)",17128,17128
1046,National Institute of Technology Agartala,"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",9304,16348
1058,National Institute of Technology Agartala,"Production Engineering (4 Years, Bachelor of Technology)",31221,31221
1059,National Institute of Technology Agartala,"Production Engineering (4 Years, Bachelor of Technology)",22798,22798
1119,National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",26649,26649
1142,National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",8021,15768
1143,National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",9684,9684
1197,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",7900,17540
1198,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",8309,8309
1222,National Institute of Technology Calicut,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",13896,13896
1281,National Institute of Technology Calicut,"Mechanical Engineering (4 Years, Bachelor of Technology)",13804,13804
1389,National Institute of Technology Durgapur,"Bio Technology (4 Years, Bachelor of Technology)",13902,13969
1390,National Institute of Technology Durgapur,"Bio Technology (4 Years, Bachelor of Technology)",19973,19973
1420,National Institute of Technology Durgapur,"Chemical Engineering (4 Years, Bachelor of Technology)",9410,9410
1464,National Institute of Technology Durgapur,"Civil Engineering (4 Years, Bachelor of Technology)",9461,9461
1566,National Institute of Technology Durgapur,"Mechanical Engineering (4 Years, Bachelor of Technology)",11904,19992
1605,National Institute of Technology Goa,"Civil Engineering (4 Years, Bachelor of Technology)",8772,8772
1629,National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",11662,11662
1646,National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",7714,7714
1689,National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",13752,13752
1819,National Institute of Technology Hamirpur,"Electrical Engineering (4 Years, Bachelor of Technology)",7829,7829
1901,National Institute of Technology Hamirpur,"Materials Science and Engineering (4 Years, Bachelor of Technology)",8457,8457
1918,National Institute of Technology Hamirpur,"Mathematics and Computing (4 Years, Bachelor of Technology)",13514,13514
2227,National Institute of Technology Meghalaya,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",11699,12957
2256,National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology)",14989,16764
2296,National Institute of Technology Nagaland,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",8288,26561
2297,National Institute of Technology Nagaland,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",9065,17028
2304,National Institute of Technology Nagaland,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",14629,14629
2311,National Institute of Technology Nagaland,"Mechanical Engineering (4 Years, Bachelor of Technology)",12025,29018
2312,National Institute of Technology Nagaland,"Mechanical Engineering (4 Years, Bachelor of Technology)",18308,18308
2496,National Institute of Technology Puducherry,"Computer Science and Engineering (4 Years, Bachelor of Technology)",9098,9098
2532,National Institute of Technology Puducherry,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",9807,9807
2842,National Institute of Technology Sikkim,"Computer Science and Engineering (4 Years, Bachelor of Technology)",23898,23898
2853,National Institute of Technology Sikkim,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",15842,15842
2867,National Institute of Technology Sikkim,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",15628,15628
2903,National Institute of Technology Arunachal Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",7651,15140
2919,National Institute of Technology Arunachal Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",12721,28584
2920,National Institute of Technology Arunachal Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",16763,16763
2933,National Institute of Technology Arunachal Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",13596,19232
3138,"National Institute of Technology, Kurukshetra","Civil Engineering (4 Years, Bachelor of Technology)",15947,15947
3213,"National Institute of Technology, Kurukshetra","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",7877,17533
3236,"National Institute of Technology, Kurukshetra","Information Technology (4 Years, Bachelor of Technology)",9057,15292
3240,"National Institute of Technology, Kurukshetra","Information Technology (4 Years, Bachelor of Technology)",13728,13728
3262,"National Institute of Technology, Kurukshetra","Mechanical Engineering (4 Years, Bachelor of Technology)",18751,24286
3301,"National Institute of Technology, Manipur","Civil Engineering (4 Years, Bachelor of Technology)",8769,10549
3315,"National Institute of Technology, Manipur","Computer Science and Engineering (4 Years, Bachelor of Technology)",13506,15176
3331,"National Institute of Technology, Manipur","Electrical Engineering (4 Years, Bachelor of Technology)",11698,12939
3356,"National Institute of Technology, Manipur","Mechanical Engineering (4 Years, Bachelor of Technology)",24943,24943
3367,"National Institute of Technology, Mizoram","Civil Engineering (4 Years, Bachelor of Technology)",19686,19686
3379,"National Institute of Technology, Mizoram","Computer Science and Engineering (4 Years, Bachelor of Technology)",22919,22919
3951,"National Institute of Technology, Srinagar","Chemical Engineering (4 Years, Bachelor of Technology)",9875,9875
4000,"National Institute of Technology, Srinagar","Computer Science and Engineering (4 Years, Bachelor of Technology)",12237,12237
4022,"National Institute of Technology, Srinagar","Electrical Engineering (4 Years, Bachelor of Technology)",8775,8775
4045,"National Institute of Technology, Srinagar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",17617,17617
4071,"National Institute of Technology, Srinagar","Information Technology (4 Years, Bachelor of Technology)",8764,8764
4091,"National Institute of Technology, Srinagar","Mechanical Engineering (4 Years, Bachelor of Technology)",10710,10710
4115,"National Institute of Technology, Srinagar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",16436,16436
4158,"National Institute of Technology, Tiruchirappalli","Chemical Engineering (4 Years, Bachelor of Technology)",17086,17086
4308,"National Institute of Technology, Tiruchirappalli","Mechanical Engineering (4 Years, Bachelor of Technology)",16362,16362
4333,"National Institute of Technology, Tiruchirappalli","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",11395,12316
4334,"National Institute of Technology, Tiruchirappalli","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",12314,12314
4357,"National Institute of Technology, Tiruchirappalli","Production Engineering (4 Years, Bachelor of Technology)",9553,12856
4358,"National Institute of Technology, Tiruchirappalli","Production Engineering (4 Years, Bachelor of Technology)",19864,19864
5320,"Indian Institute of Engineering Science and Technology, Shibpur","Civil Engineering (4 Years, Bachelor of Technology)",11402,11402
5366,"Indian Institute of Engineering Science and Technology, Shibpur","Electrical Engineering (4 Years, Bachelor of Technology)",9599,9599
5436,"Indian Institute of Engineering Science and Technology, Shibpur","Mechanical Engineering (4 Years, Bachelor of Technology)",15704,15704
5458,"Indian Institute of Engineering Science and Technology, Shibpur","Metallurgy and Materials Engineering (4 Years, Bachelor of Technology)",10867,10867
5475,"Indian Institute of Engineering Science and Technology, Shibpur","Mining Engineering (4 Years, Bachelor of Technology)",11867,12542
5476,"Indian Institute of Engineering Science and Technology, Shibpur","Mining Engineering (4 Years, Bachelor of Technology)",21468,21468
